0	1
0.01	1
0.02	1
0.03	1
0.04	1
0.05	1
0.06	1
0.07	1
0.08	1
0.09	1
0.1	1
0.11	1
0.12	1.001
0.13	1.001
0.14	1.001
0.15	1.001
0.16	1.001
0.17	1.002
0.18	1.002
0.19	1.002
0.2	1.002
0.21	1.003
0.22	1.003
0.23	1.004
0.24	1.004
0.25	1.005
0.26	1.006
0.27	1.006
0.28	1.007
0.29	1.008
0.3	1.009
0.31	1.01
0.32	1.011
0.33	1.012
0.34	1.013
0.35	1.014
0.36	1.015
0.37	1.017
0.38	1.018
0.39	1.02
0.4	1.021
0.41	1.023
0.42	1.025
0.43	1.027
0.44	1.029
0.45	1.031
0.46	1.033
0.47	1.036
0.48	1.038
0.49	1.041
0.5	1.044
0.51	1.047
0.52	1.05
0.53	1.053
0.54	1.056
0.55	1.06
0.56	1.064
0.57	1.067
0.58	1.071
0.59	1.076
0.6	1.08
0.61	1.085
0.62	1.09
0.63	1.095
0.64	1.1
0.65	1.106
0.66	1.112
0.67	1.118
0.68	1.124
0.69	1.131
0.7	1.137
0.71	1.145
0.72	1.152
0.73	1.16
0.74	1.168
0.75	1.177
0.76	1.186
0.77	1.195
0.78	1.205
0.79	1.215
0.8	1.225
0.81	1.236
0.82	1.248
0.83	1.26
0.84	1.272
0.85	1.285
0.86	1.299
0.87	1.313
0.88	1.327
0.89	1.342
0.9	1.358
0.91	1.374
0.92	1.391
0.93	1.409
0.94	1.428
0.95	1.447
0.96	1.467
0.97	1.487
0.98	1.509
0.99	1.531
