0	1
0.01	1
0.02	1
0.03	1
0.04	1
0.05	1
0.06	1
0.07	1
0.08	1
0.09	1
0.1	1
0.11	1
0.12	1
0.13	1.001
0.14	1.001
0.15	1.001
0.16	1.001
0.17	1.001
0.18	1.002
0.19	1.002
0.2	1.002
0.21	1.003
0.22	1.003
0.23	1.004
0.24	1.004
0.25	1.005
0.26	1.005
0.27	1.006
0.28	1.007
0.29	1.007
0.3	1.008
0.31	1.009
0.32	1.01
0.33	1.011
0.34	1.012
0.35	1.013
0.36	1.015
0.37	1.016
0.38	1.017
0.39	1.019
0.4	1.021
0.41	1.022
0.42	1.024
0.43	1.026
0.44	1.028
0.45	1.03
0.46	1.032
0.47	1.035
0.48	1.037
0.49	1.04
0.5	1.042
0.51	1.045
0.52	1.048
0.53	1.051
0.54	1.055
0.55	1.058
0.56	1.062
0.57	1.066
0.58	1.069
0.59	1.074
0.6	1.078
0.61	1.083
0.62	1.087
0.63	1.092
0.64	1.098
0.65	1.103
0.66	1.109
0.67	1.115
0.68	1.121
0.69	1.127
0.7	1.134
0.71	1.141
0.72	1.149
0.73	1.156
0.74	1.164
0.75	1.173
0.76	1.182
0.77	1.191
0.78	1.2
0.79	1.21
0.8	1.221
0.81	1.231
0.82	1.243
0.83	1.254
0.84	1.267
0.85	1.279
0.86	1.293
0.87	1.306
0.88	1.321
0.89	1.336
0.9	1.351
0.91	1.367
0.92	1.384
0.93	1.401
0.94	1.42
0.95	1.439
0.96	1.458
0.97	1.478
0.98	1.5
0.99	1.522
